"id","name","height","weight","hp","attack","defense","s_attack","s_defense","speed","type","evo_set","info"
1,"bulbasaur","7","69","45","49","49","65","65","45","{grass,poison}",1,"A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON."
2,"ivysaur","10","130","60","62","63","80","80","60","{grass,poison}",1,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
3,"venusaur","20","1000","80","82","83","100","100","80","{grass,poison}",1,"The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight."
4,"charmander","6","85","39","52","43","60","50","65","{fire}",2,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
5,"charmeleon","11","190","58","64","58","80","65","80","{fire}",2,"When it swings its burning tail, it elevates the temperature to unbearably high levels."
6,"charizard","17","905","78","84","78","109","85","100","{fire,flying}",2,"Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally."
7,"squirtle","5","90","44","48","65","50","64","43","{water}",3,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
8,"wartortle","10","225","59","63","80","65","80","58","{water}",3,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
9,"blastoise","16","855","79","83","100","85","105","78","{water}",3,"A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles."
10,"caterpie","3","29","45","30","35","20","20","45","{bug}",4,"Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls."
11,"metapod","7","99","50","20","55","25","25","30","{bug}",4,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body."
12,"butterfree","11","320","60","45","50","90","80","70","{bug,flying}",4,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
13,"weedle","3","32","40","35","30","20","20","50","{bug,poison}",5,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
14,"kakuna","6","100","45","25","50","25","25","35","{bug,poison}",5,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators."
15,"beedrill","10","295","65","90","40","45","80","75","{bug,poison}",5,"It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly."
16,"pidgey","3","18","40","45","40","35","35","56","{normal,flying}",6,"A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand."
17,"pidgeotto","11","300","63","60","55","50","50","71","{normal,flying}",6,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder."
18,"pidgeot","15","395","83","80","75","70","70","101","{normal,flying}",6,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
19,"rattata","3","35","30","56","35","25","35","72","{normal}",7,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
20,"raticate","7","185","55","81","60","50","70","97","{normal}",7,"It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off."
21,"spearow","3","20","40","60","30","31","31","70","{normal,flying}",8,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey."
22,"fearow","12","380","65","90","65","61","61","100","{normal,flying}",8,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
23,"ekans","20","69","35","60","44","40","54","55","{poison}",9,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole."
24,"arbok","35","650","60","95","69","65","79","80","{poison}",9,"It is rumored that the ferocious warning markings on its belly differ from area to area."
25,"pikachu","4","60","35","55","40","50","50","90","{electric}",10,"When several of these POKéMON gather, their electricity could build and cause lightning storms."
26,"raichu","8","300","60","90","55","90","80","110","{electric}",10,"Its long tail serves as a ground to protect itself from its own high-voltage power."
27,"sandshrew","6","120","50","75","85","20","30","40","{ground}",11,"Burrows deep underground in arid locations far from water. It only emerges to hunt for food."
28,"sandslash","10","295","75","100","110","45","55","65","{ground}",11,"Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape."
29,"nidoran-f","4","70","55","47","52","40","40","41","{poison}",12,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns."
30,"nidorina","8","200","70","62","67","55","55","56","{poison}",12,"The female's horn develops slowly. Prefers physical attacks such as clawing and biting."
31,"nidoqueen","13","600","90","92","87","75","85","76","{poison,ground}",12,"Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves."
32,"nidoran-m","5","90","46","57","40","40","40","50","{poison}",13,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom."
33,"nidorino","9","195","61","72","57","55","55","65","{poison}",13,"An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom."
34,"nidoking","14","620","81","102","77","85","75","85","{poison,ground}",13,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones."
35,"clefairy","6","75","70","45","48","60","65","35","{fairy}",14,"Its magical and cute appeal has many admirers. It is rare and found only in certain areas."
